Mes,T,SLP,H,PP
1,14.3,1010.0,46.0,0
1,15.0,1016.3,48.0,0
1,16.2,1012.4,54.0,0
1,16.0,1013.5,45.0,0
1,17.1,1016.8,58.0,0
1,15.3,1010.2,46.0,0
1,18.0,1006.9,46.0,0
1,18.9,1013.2,52.0,0
1,16.8,1008.8,65.0,0
1,14.6,1015.5,78.0,0
1,15.3,1013.2,80.0,0
1,7.7,1027.0,67.0,0
1,16.1,1016.1,56.0,0
1,11.2,1017.5,65.0,0
1,12.5,1013.9,46.0,0
1,15.8,1012.5,72.0,0
1,14.4,1021.8,61.0,0
1,17.8,1017.8,67.0,0
1,15.4,1014.9,64.0,0
1,12.1,1020.8,34.0,0
1,13.6,1000.1,51.0,0
1,15.4,1009.7,55.0,0
1,13.4,1012.2,69.0,0
1,15.1,1011.8,43.0,0
1,8.7,1016.9,33.0,0
1,14.8,1015.1,61.0,0
1,12.4,1014.5,52.0,0
1,19.4,1010.1,44.0,0
1,13.0,1014.7,67.0,0
1,15.8,1013.5,57.0,0
1,17.6,1018.2,44.0,0
1,16.1,1009.2,64.0,1
1,12.8,1023.8,62.0,1
1,12.2,1015.2,37.0,0
1,15.5,1012.2,51.0,0
1,14.5,1012.4,59.0,0
1,15.4,1015.0,60.0,1
1,15.7,1011.7,43.0,1
1,14.5,1016.0,65.0,0
1,13.3,1020.6,63.0,0
1,15.0,1012.2,59.0,0
1,14.2,1014.1,35.0,0
1,17.1,1010.5,57.0,0
1,15.5,1009.8,81.0,0
1,16.1,1013.5,53.0,0
1,16.7,1000.1,44.0,0
1,19.5,1014.0,58.0,0
1,14.3,1009.9,41.0,0
1,14.1,1012.8,67.0,0
1,15.2,1011.7,59.0,0
1,16.9,1017.4,46.0,0
1,14.3,1014.4,30.0,0
1,17.3,1012.2,62.0,0
1,12.1,1018.7,31.0,0
1,10.9,1014.5,49.0,0
1,16.0,1013.1,55.0,0
1,9.9,1011.4,68.0,0
1,16.8,1013.7,43.0,0
1,15.8,1017.1,64.0,0
1,8.0,1018.6,90.0,1
1,16.3,1010.5,77.0,1
1,16.2,1008.7,68.0,1
1,9.0,1016.4,99.0,1
1,12.5,1016.7,86.0,1
1,16.1,1011.9,53.0,0
1,16.4,1015.4,59.0,0
1,11.7,1018.8,62.0,1
1,14.8,1012.5,49.0,1
1,17.4,1012.5,57.0,0
1,17.2,1012.8,61.0,0
1,17.8,1009.8,31.0,0
1,14.8,1017.3,49.0,0
1,15.1,1014.9,59.0,1
1,16.9,1015.4,49.0,1
1,19.5,1010.9,39.0,0
1,15.7,1013.1,67.0,0
1,14.1,1008.3,63.0,0
1,15.8,1012.9,32.0,0
1,15.6,1011.3,35.0,0
1,17.9,1013.3,49.0,0
1,14.1,1014.7,37.0,0
1,15.9,1013.4,52.0,0
1,16.9,1010.2,70.0,0
1,14.8,1012.5,62.0,0
1,15.1,1013.4,81.0,0
1,14.4,1011.4,59.0,0
1,13.8,1012.1,48.0,0
1,12.5,1015.5,60.0,1
1,16.8,1008.1,58.0,0
1,13.2,1012.5,55.0,0
1,16.8,1015.4,56.0,0
1,9.1,1017.9,92.0,1
1,12.7,1012.8,63.0,1
1,21.0,1015.4,35.0,0
1,12.2,1017.6,52.0,0
1,16.4,1017.9,49.0,0
1,11.2,1011.2,82.0,1
1,14.4,1016.7,51.0,0
1,12.7,1014.8,59.0,0
1,15.9,1012.3,47.0,0
1,13.2,1018.5,69.0,0
1,10.3,1016.6,58.0,0
1,15.4,1009.6,32.0,0
1,13.8,1012.5,41.0,0
1,17.8,1015.1,53.0,1
1,15.8,1017.0,64.0,1
1,15.6,1016.6,61.0,1
1,14.3,1016.7,64.0,1
1,17.3,1014.8,47.0,1
1,15.5,1012.8,81.0,1
1,11.9,1015.5,80.0,1
1,13.0,1013.3,81.0,1
1,14.9,1017.6,57.0,0
1,15.7,1014.9,47.0,0
1,13.2,1010.6,46.0,0
1,11.7,1015.2,84.0,0
1,13.2,1014.5,35.0,0
1,15.9,1010.4,40.0,0
1,13.2,1015.1,58.0,0
1,12.3,1013.9,49.0,0
1,16.1,1012.3,42.0,0
1,14.7,1016.6,42.0,0
1,14.0,1018.1,61.0,0
1,15.6,1015.5,51.0,0
1,15.9,1012.6,46.0,0
1,18.8,1014.5,29.0,0
1,14.9,1014.2,27.0,0
1,16.0,1012.6,62.0,0
1,15.6,1013.5,79.0,0
1,16.2,1014.7,42.0,0
1,11.5,1016.0,61.0,0
1,14.7,1015.4,40.0,0
1,15.1,1015.2,61.0,1
1,17.3,1015.6,55.0,1
1,15.8,1014.9,36.0,0
1,15.9,1012.4,59.0,0
1,12.6,1015.8,48.0,0
1,16.7,1016.5,49.0,0
