Epoch,Loss,Accuracy
0,0.7011,46.0526
1,0.7003,47.7632
2,0.7,49.3421
3,0.7004,47.6316
4,0.7004,47.6316
5,0.7002,49.2105
6,0.7,49.6053
7,0.6999,48.9474
8,0.6995,52.1053
9,0.699,48.2895
10,0.6992,47.8947
11,0.6995,47.5
12,0.6982,47.6316
13,0.6981,50.5263
14,0.6982,48.8158
15,0.6989,48.4211
16,0.6984,49.7368
17,0.6976,52.2368
18,0.6972,49.0789
19,0.6978,50.6579
20,0.6976,48.6842
21,0.6963,50.0
22,0.6969,47.1053
23,0.6966,50.7895
24,0.6967,48.5526
25,0.6969,50.2632
26,0.6959,50.0
27,0.696,50.5263
28,0.6956,48.4211
29,0.6955,51.7105
30,0.6955,50.9211
31,0.695,50.7895
32,0.6958,50.6579
33,0.6952,55.2632
34,0.6955,51.5789
35,0.6954,52.2368
36,0.6946,49.8684
37,0.6954,52.2368
38,0.6947,53.2895
39,0.6943,51.9737
40,0.6935,53.9474
41,0.6939,53.8158
42,0.6942,52.2368
43,0.6937,55.3947
44,0.6929,53.2895
45,0.6937,51.7105
46,0.693,51.5789
47,0.6931,53.1579
48,0.6932,54.0789
49,0.6923,56.7105
50,0.6934,50.9211
51,0.693,55.2632
52,0.6926,55.1316
53,0.6927,55.5263
54,0.6928,55.9211
55,0.6925,57.2368
56,0.6923,54.4737
57,0.6925,54.6053
58,0.692,54.3421
59,0.6918,57.2368
60,0.692,53.8158
61,0.6913,55.3947
62,0.6914,55.7895
63,0.6914,57.1053
64,0.6916,58.8158
65,0.6911,57.2368
66,0.6908,57.6316
67,0.6914,58.0263
68,0.6904,56.1842
69,0.6907,59.7368
70,0.6904,57.6316
71,0.6906,57.3684
72,0.6903,56.4474
73,0.6899,57.3684
74,0.6898,57.6316
75,0.6898,57.7632
76,0.6905,56.3158
77,0.6902,58.4211
78,0.6895,62.8947
79,0.6888,59.2105
80,0.6899,60.1316
81,0.6893,59.2105
82,0.689,59.7368
83,0.6887,59.6053
84,0.6884,59.0789
85,0.6891,58.4211
86,0.6882,57.7632
87,0.6887,60.0
88,0.6884,59.8684
89,0.6883,60.1316
90,0.6878,61.8421
91,0.6883,60.0
92,0.6878,58.9474
93,0.6878,61.7105
94,0.6876,59.6053
95,0.6879,58.9474
96,0.6876,62.7632
97,0.6869,60.1316
98,0.6875,62.7632
99,0.6876,61.0526
100,0.6867,61.4474
101,0.6869,60.1316
102,0.6865,59.6053
103,0.6866,61.9737
104,0.6866,61.4474
105,0.6865,62.8947
106,0.6865,63.2895
107,0.686,61.9737
108,0.6853,62.1053
109,0.6857,60.0
110,0.6856,63.1579
111,0.686,60.9211
112,0.6854,61.3158
113,0.6854,63.4211
114,0.6856,61.4474
115,0.6842,64.6053
116,0.6855,61.3158
117,0.6858,64.6053
118,0.6844,63.0263
119,0.6847,64.3421
120,0.6839,64.0789
121,0.6848,64.0789
122,0.6842,60.9211
123,0.6844,64.8684
124,0.6839,64.2105
125,0.6843,63.6842
126,0.6833,63.2895
127,0.6839,65.0
128,0.6833,63.6842
129,0.683,62.1053
130,0.684,64.8684
131,0.683,65.0
132,0.683,64.0789
133,0.6834,65.5263
134,0.6831,63.8158
135,0.6827,64.0789
136,0.682,63.1579
137,0.6821,64.0789
138,0.6824,64.7368
139,0.6823,64.6053
140,0.6817,66.1842
141,0.6822,63.2895
142,0.6816,63.9474
143,0.6816,64.7368
144,0.6817,62.5
145,0.6808,66.3158
146,0.6814,62.2368
147,0.681,63.5526
148,0.6807,64.7368
149,0.6812,64.2105
150,0.6805,63.9474
151,0.6808,65.0
152,0.6803,63.8158
153,0.68,64.3421
154,0.6806,65.9211
155,0.68,64.6053
156,0.6794,64.8684
157,0.6797,65.9211
158,0.6791,64.6053
159,0.6797,64.7368
160,0.6796,66.3158
161,0.6794,63.5526
162,0.6789,65.1316
163,0.6794,65.9211
164,0.6792,64.6053
165,0.6788,65.7895
166,0.6786,66.8421
167,0.6786,63.8158
168,0.6788,67.3684
169,0.6788,67.5
170,0.6783,64.4737
171,0.6784,65.2632
172,0.678,66.5789
173,0.6783,66.3158
174,0.6781,64.6053
175,0.678,67.2368
176,0.678,66.0526
177,0.6781,66.1842
178,0.6775,66.3158
179,0.6775,65.3947
180,0.6774,67.1053
181,0.6771,66.0526
182,0.6774,64.4737
183,0.6772,64.4737
184,0.6765,64.8684
185,0.6769,65.0
186,0.6766,66.8421
187,0.6769,64.0789
188,0.6764,66.9737
189,0.6764,66.7105
190,0.6758,68.6842
191,0.6759,65.6579
192,0.6759,66.5789
193,0.676,66.1842
194,0.676,66.8421
195,0.6754,67.1053
196,0.6756,66.8421
197,0.6759,67.2368
198,0.6751,65.6579
199,0.6758,67.3684
200,0.6751,67.1053
201,0.6752,66.0526
202,0.6747,67.6316
203,0.6747,68.5526
204,0.6752,66.0526
205,0.6748,66.0526
206,0.6743,67.6316
207,0.6744,67.5
208,0.6746,66.5789
209,0.6748,67.6316
210,0.6737,65.0
211,0.6741,68.2895
212,0.6741,66.8421
213,0.6742,67.2368
214,0.6733,65.5263
215,0.6741,67.3684
216,0.6737,66.7105
217,0.6733,65.1316
218,0.673,67.7632
219,0.6729,67.7632
220,0.6728,66.9737
221,0.6726,66.5789
222,0.673,67.6316
223,0.6728,65.5263
224,0.6732,66.1842
225,0.6722,67.6316
226,0.6728,65.7895
227,0.6724,66.7105
228,0.6719,67.6316
229,0.672,67.2368
230,0.6721,68.0263
231,0.6721,66.1842
232,0.6723,69.2105
233,0.6713,66.1842
234,0.6717,68.8158
235,0.6718,68.5526
236,0.6715,67.8947
237,0.6712,68.6842
238,0.6715,67.8947
239,0.6711,66.9737
240,0.671,66.9737
241,0.6716,68.4211
242,0.6707,68.2895
243,0.6711,66.7105
244,0.6704,67.5
245,0.6703,67.2368
246,0.67,67.8947
247,0.6703,68.4211
248,0.6696,65.3947
249,0.6707,69.6053
250,0.67,66.9737
251,0.6701,69.0789
252,0.6705,67.6316
253,0.6701,68.4211
254,0.6699,69.3421
255,0.6697,68.0263
256,0.6702,68.1579
257,0.6695,68.1579
258,0.6696,67.5
259,0.6691,66.4474
260,0.6691,67.7632
261,0.6693,66.9737
262,0.6687,69.6053
263,0.6688,68.1579
264,0.6685,68.5526
265,0.6682,68.6842
